site,year,eventID,date_time,rain,cumulative_rain,fstrips,fcontrol,pad
arm,2016,,8/28/2016 17:25,0.001,0.489,,,
arm,2016,,8/28/2016 17:30,0.002,0.491,,,
arm,2016,,8/28/2016 17:35,0.001,0.492,,,
arm,2016,,8/29/2016 7:45,0.001,0.493,,,
arm,2016,,8/29/2016 7:50,0.001,0.494,,,
arm,2016,,8/29/2016 8:15,0.001,0.495,,,
arm,2016,,8/29/2016 16:40,0.001,0.496,,,
arm,2016,,8/29/2016 16:50,0.001,0.497,,,
arm,2016,,8/29/2016 16:55,0.002,0.499,,,
arm,2016,,8/29/2016 17:00,0.001,0.5,,,
arm,2016,,8/29/2016 17:05,0.001,0.501,,,
arm,2016,,8/29/2016 17:15,0.001,0.502,,,
arm,2016,,8/29/2016 17:25,0.001,0.503,,,
arm,2016,,8/29/2016 18:05,0.001,0.504,,,
arm,2016,,8/29/2016 18:10,0.001,0.505,,,
arm,2016,,8/29/2016 19:05,0.001,0.506,,,
arm,2016,,8/29/2016 22:50,0.001,0.507,,,
arm,2016,,8/29/2016 22:55,0.002,0.509,,,
arm,2016,,8/29/2016 23:00,0.003,0.512,,,
arm,2016,,8/29/2016 23:05,0.001,0.513,,,
arm,2016,,8/29/2016 23:10,0.001,0.514,,,
arm,2016,,9/4/2016 14:10,0.001,0.515,,,
arm,2016,,9/4/2016 14:15,0.001,0.516,,,
arm,2016,,9/4/2016 14:35,0.001,0.517,,,
arm,2016,,9/5/2016 11:05,0.001,0.518,,,
arm,2016,,9/7/2016 8:55,0.001,0.519,,,
arm,2016,,9/7/2016 9:00,0.006,0.525,,,
arm,2016,,9/7/2016 9:05,0.002,0.527,,,
arm,2016,,9/7/2016 11:05,0.001,0.528,,,
arm,2016,,9/7/2016 11:10,0.001,0.529,,,
arm,2016,,9/7/2016 11:15,0.003,0.532,,,
arm,2016,,9/7/2016 11:20,0.001,0.533,,,
arm,2016,,9/7/2016 11:25,0.001,0.534,,,
arm,2016,,9/9/2016 15:15,0.001,0.535,,,
arm,2016,,9/9/2016 15:20,0.003,0.538,,,
arm,2016,,9/9/2016 15:25,0.001,0.539,,,
arm,2016,,9/9/2016 15:30,0.001,0.54,,,
arm,2016,,9/9/2016 15:35,0.001,0.541,,,
arm,2016,,9/9/2016 16:40,0.001,0.542,,,
arm,2016,,9/9/2016 17:25,0.001,0.543,,,
arm,2016,,9/9/2016 17:40,0.001,0.544,,,
arm,2016,,9/9/2016 18:15,0.001,0.545,,,
arm,2016,,9/9/2016 18:20,0.001,0.546,,,
arm,2016,,9/13/2016 1:50,0.001,0.547,,,
arm,2016,,9/13/2016 1:55,0.001,0.548,,,
arm,2016,,9/13/2016 2:00,0.001,0.549,,,
arm,2016,,9/13/2016 2:10,0.001,0.55,,,
arm,2016,,9/13/2016 2:15,0.001,0.551,,,
arm,2016,,9/13/2016 2:20,0.001,0.552,,,
arm,2016,,9/13/2016 2:25,0.002,0.554,,,
arm,2016,,9/13/2016 2:30,0.002,0.556,,,
arm,2016,,9/13/2016 18:45,0.001,0.557,,,
arm,2016,,9/16/2016 0:15,0.001,0.558,,,
arm,2016,,9/16/2016 0:25,0.001,0.559,,,
arm,2016,,9/16/2016 0:30,0.002,0.561,,,
arm,2016,,9/16/2016 0:35,0.002,0.563,,,
arm,2016,,9/16/2016 0:40,0.001,0.564,,,
arm,2016,,9/16/2016 0:50,0.001,0.565,,,
arm,2016,,9/16/2016 0:55,0.005,0.57,,,
arm,2016,,9/16/2016 1:00,0.004,0.574,,,
arm,2016,,9/16/2016 1:05,0.002,0.576,,,
arm,2016,,9/16/2016 1:10,0.003,0.579,,,
arm,2016,,9/16/2016 1:15,0.003,0.582,,,
arm,2016,,9/16/2016 1:30,0.001,0.583,,,
