site,year,date_time,rain,fstrips,fcontrol,pad,,
arm,2016,7/18/2016 5:05,0.004,,1016,,,
arm,2016,7/18/2016 5:10,0.003,,1016,,,
arm,2016,7/18/2016 5:15,0.003,,1016,,,
arm,2016,7/18/2016 5:20,0.002,,1016,,,
arm,2016,7/18/2016 5:25,0.001,,1016,,,
arm,2016,7/18/2016 5:30,0.001,,1016,,,
arm,2016,7/18/2016 5:35,0.001,,1016,,,
arm,2016,7/18/2016 5:50,0.001,,1016,,,
arm,2016,7/18/2016 19:15,0,,1016,,,
arm,2016,7/19/2016 13:10,0.003,,,,,
arm,2016,7/19/2016 13:15,0.002,,,,,
arm,2016,7/19/2016 13:20,0.001,,,,,
arm,2016,7/19/2016 13:25,0.001,,,,,
arm,2016,7/19/2016 13:30,0.001,,,,,
arm,2016,7/19/2016 13:35,0.001,,,,,
arm,2016,7/31/2016 5:15,0.001,,,,,
arm,2016,7/31/2016 5:20,0.003,,,,,
arm,2016,7/31/2016 5:25,0.001,,,,,
arm,2016,7/31/2016 5:30,0.001,,,,,
arm,2016,8/1/2016 4:55,0.001,,,,,
arm,2016,8/1/2016 5:00,0.001,,,,,
arm,2016,8/1/2016 5:05,0.001,,,,,
arm,2016,8/1/2016 5:10,0.001,,,,,
arm,2016,8/1/2016 8:40,0.001,,,,,
arm,2016,8/11/2016 20:30,0.001,,,,,
arm,2016,8/11/2016 20:35,0.001,,,,,
arm,2016,8/11/2016 21:05,0.001,,,,,
arm,2016,8/11/2016 21:10,0.002,,,,,
arm,2016,8/11/2016 21:15,0.002,,,,,
arm,2016,8/11/2016 21:20,0.001,,,,,
arm,2016,8/11/2016 21:25,0.001,,,,,
arm,2016,8/11/2016 21:30,0.001,,,,,
arm,2016,8/11/2016 21:35,0.002,,,,,
arm,2016,8/11/2016 21:40,0.001,,,,,
arm,2016,8/11/2016 21:45,0.001,,,,,
arm,2016,8/11/2016 21:50,0.001,,,,,
arm,2016,8/11/2016 21:55,0.001,,,,,
arm,2016,8/11/2016 22:00,0.001,,,,,
arm,2016,8/11/2016 22:05,0.001,,,,,
arm,2016,8/11/2016 22:10,0.001,,,,,
arm,2016,8/11/2016 22:15,0.001,,,,,
arm,2016,8/11/2016 22:20,0.001,,,,,
arm,2016,8/11/2016 22:25,0.001,,,,,
arm,2016,8/11/2016 22:30,0.001,,,,,
arm,2016,8/11/2016 22:35,0.001,,,,,
arm,2016,8/11/2016 22:40,0.001,,,,,
arm,2016,8/11/2016 22:45,0.001,,,,,
arm,2016,8/11/2016 22:50,0.001,,,,,
arm,2016,8/11/2016 22:55,0.001,,,,,
arm,2016,8/11/2016 23:00,0.001,,,,,
arm,2016,8/11/2016 23:05,0.001,,,,,
arm,2016,8/11/2016 23:10,0.001,,,,,
arm,2016,8/11/2016 23:15,0.001,,,,,
arm,2016,8/11/2016 23:20,0.001,,,,,
arm,2016,8/11/2016 23:25,0.001,,,,,
arm,2016,8/11/2016 23:30,0.001,,,,,
arm,2016,8/11/2016 23:40,0.001,,,,,
arm,2016,8/11/2016 23:45,0.001,,,,,
arm,2016,8/19/2016 16:55,0.001,,,,,
arm,2016,8/23/2016 23:00,0.002,,,,,
arm,2016,8/23/2016 23:05,0.004,,,,,
arm,2016,8/23/2016 23:10,0.005,,,,,
arm,2016,8/23/2016 23:15,0.006,,,,,
arm,2016,8/23/2016 23:20,0.003,,,,,
arm,2016,8/23/2016 23:25,0.002,,,,,
arm,2016,8/23/2016 23:30,0.002,,,,,
arm,2016,8/23/2016 23:35,0.001,,,,,
arm,2016,8/23/2016 23:40,0.001,,,,,
arm,2016,8/28/2016 17:25,0.001,,,,,
arm,2016,8/28/2016 17:30,0.002,,,,,
arm,2016,8/28/2016 17:35,0.001,,,,,
arm,2016,8/29/2016 7:45,0.001,,,,,
arm,2016,8/29/2016 7:50,0.001,,,,,
arm,2016,8/29/2016 8:15,0.001,,,,,
arm,2016,8/29/2016 16:40,0.001,,,,,
arm,2016,8/29/2016 16:50,0.001,,,,,
arm,2016,8/29/2016 16:55,0.002,,,,,
arm,2016,8/29/2016 17:00,0.001,,,,,
arm,2016,8/29/2016 17:05,0.001,,,,,
arm,2016,8/29/2016 17:15,0.001,,,,,
arm,2016,8/29/2016 17:25,0.001,,,,,
arm,2016,8/29/2016 18:05,0.001,,,,,
arm,2016,8/29/2016 18:10,0.001,,,,,
arm,2016,8/29/2016 19:05,0.001,,,,,
arm,2016,8/29/2016 22:50,0.001,,,,,
arm,2016,8/29/2016 22:55,0.002,,,,,
arm,2016,8/29/2016 23:00,0.003,,,,,
arm,2016,8/29/2016 23:05,0.001,,,,,
arm,2016,8/29/2016 23:10,0.001,,,,,
arm,2016,9/4/2016 14:10,0.001,,,,,
arm,2016,9/4/2016 14:15,0.001,,,,,
arm,2016,9/4/2016 14:35,0.001,,,,,
arm,2016,9/5/2016 11:05,0.001,,,,,
arm,2016,9/7/2016 8:55,0.001,,,,,
arm,2016,9/7/2016 9:00,0.006,,,,,
arm,2016,9/7/2016 9:05,0.002,,,,,
arm,2016,9/7/2016 11:05,0.001,,,,,
arm,2016,9/7/2016 11:10,0.001,,,,,
arm,2016,9/7/2016 11:15,0.003,,,,,
arm,2016,9/7/2016 11:20,0.001,,,,,
arm,2016,9/7/2016 11:25,0.001,,,,,
arm,2016,9/9/2016 15:15,0.001,,,,,
arm,2016,9/9/2016 15:20,0.003,,,,,
arm,2016,9/9/2016 15:25,0.001,,,,,
arm,2016,9/9/2016 15:30,0.001,,,,,
arm,2016,9/9/2016 15:35,0.001,,,,,
arm,2016,9/9/2016 16:40,0.001,,,,,
arm,2016,9/9/2016 17:25,0.001,,,,,
arm,2016,9/9/2016 17:40,0.001,,,,,
arm,2016,9/9/2016 18:15,0.001,,,,,
arm,2016,9/9/2016 18:20,0.001,,,,,
arm,2016,9/13/2016 1:50,0.001,,,,,
arm,2016,9/13/2016 1:55,0.001,,,,,
arm,2016,9/13/2016 2:00,0.001,,,,,
arm,2016,9/13/2016 2:10,0.001,,,,,
arm,2016,9/13/2016 2:15,0.001,,,,,
arm,2016,9/13/2016 2:20,0.001,,,,,
arm,2016,9/13/2016 2:25,0.002,,,,,
arm,2016,9/13/2016 2:30,0.002,,,,,
arm,2016,9/13/2016 18:45,0.001,,,,,
arm,2016,9/16/2016 0:15,0.001,,,,,
arm,2016,9/16/2016 0:25,0.001,,,,,
arm,2016,9/16/2016 0:30,0.002,,,,,
arm,2016,9/16/2016 0:35,0.002,,,,,
arm,2016,9/16/2016 0:40,0.001,,,,,
arm,2016,9/16/2016 0:50,0.001,,,,,
arm,2016,9/16/2016 0:55,0.005,,,,,
arm,2016,9/16/2016 1:00,0.004,,,,,
arm,2016,9/16/2016 1:05,0.002,,,,,
arm,2016,9/16/2016 1:10,0.003,,,,,
arm,2016,9/16/2016 1:15,0.003,,,,,
arm,2016,9/16/2016 1:30,0.001,,,,,
arm,2016,9/16/2016 1:35,0.001,,,,,
arm,2016,9/16/2016 1:40,0.001,,,,,
arm,2016,9/16/2016 1:45,0.001,,,,,
arm,2016,9/16/2016 1:50,0.002,,,,,
arm,2016,9/16/2016 1:55,0.011,,,,,
arm,2016,9/16/2016 2:00,0.003,,,,,
arm,2016,9/16/2016 2:05,0.001,,,,,
arm,2016,9/16/2016 2:10,0,,1034,,,
arm,2016,9/16/2016 2:20,0.001,,1034,,,
arm,2016,9/16/2016 2:25,0,,1034,,,
arm,2016,10/4/2016 13:50,0.002,,,,,
arm,2016,10/4/2016 13:55,0.001,,,,,
arm,2016,10/4/2016 15:55,0.001,,,,,
arm,2016,10/4/2016 16:05,0.001,,,,,
arm,2016,10/4/2016 16:10,0.004,,,,,
arm,2016,10/4/2016 16:25,0.003,,,,,
arm,2016,10/4/2016 16:30,0.003,,,,,
arm,2016,10/4/2016 16:35,0.002,,,,,
arm,2016,10/4/2016 16:40,0.003,,,,,
arm,2016,10/4/2016 16:45,0.001,,,,,
arm,2016,10/4/2016 16:50,0.001,,,,,
arm,2016,10/4/2016 16:55,0.001,,,,,
arm,2016,10/4/2016 17:25,0.001,,,,,
arm,2016,10/4/2016 17:30,0.002,,,,,
arm,2016,10/4/2016 17:35,0.001,,,,,
arm,2016,10/4/2016 17:40,0.001,,,,,
arm,2016,10/4/2016 17:45,0.001,,,,,
arm,2016,10/4/2016 17:50,0.001,,,,,
arm,2016,10/4/2016 18:05,0.001,,,,,
arm,2016,10/4/2016 18:10,0.001,,,,,
arm,2016,10/4/2016 18:40,0.001,,,,,
arm,2016,10/4/2016 19:00,0.001,,,,,
arm,2016,10/4/2016 19:15,0.001,,,,,
arm,2016,10/4/2016 19:25,0.001,,,,,
arm,2016,10/4/2016 19:30,0.001,,,,,
arm,2016,10/4/2016 19:35,0.001,,,,,
arm,2016,10/4/2016 19:45,0.001,,,,,
arm,2016,10/4/2016 20:00,0.001,,,,,
arm,2016,10/4/2016 20:15,0.002,,,,,
arm,2016,10/4/2016 20:20,0.002,,,,,
arm,2016,10/4/2016 20:50,0.001,,,,,
arm,2016,10/4/2016 20:55,0.001,,,,,
arm,2016,10/4/2016 21:55,0.002,,,,,
arm,2016,10/4/2016 22:05,0.002,,,,,
arm,2016,10/4/2016 22:30,0.001,,,,,
arm,2016,10/6/2016 11:30,0.001,,,,,
arm,2016,10/6/2016 11:40,0.001,,,,,
arm,2016,10/6/2016 13:35,0.001,,,,,
arm,2016,10/6/2016 14:15,0.001,,,,,
arm,2016,10/6/2016 14:20,0.001,,,,,
arm,2016,10/6/2016 14:25,0.001,,,,,
arm,2016,10/6/2016 19:25,0.001,,,,,
arm,2016,10/6/2016 19:30,0.001,,,,,
arm,2016,10/26/2016 0:40,0.001,,,,,
arm,2016,11/2/2016 3:55,0.001,,,,,
arm,2016,11/2/2016 4:30,0.002,,,,,
arm,2016,11/2/2016 4:35,0.008,,,,,
arm,2016,11/2/2016 4:40,0.003,,,,,
arm,2017,3/29/2017 5:50,0.001,,,,,
arm,2017,3/29/2017 6:00,0.001,,,,,
arm,2017,3/29/2017 13:05,0.001,,,,,
arm,2017,4/2/2017 7:55,0.001,,,,,
arm,2017,4/2/2017 8:00,0.001,,,,,
arm,2017,4/14/2017 12:55,0.001,,,,,
arm,2017,4/14/2017 13:00,0.002,,,,,
arm,2017,4/14/2017 13:15,0.001,,,,,
arm,2017,4/14/2017 13:20,0.001,,,,,
arm,2017,4/14/2017 13:25,0.002,,,,,
arm,2017,4/14/2017 13:35,0.002,,,,,
arm,2017,4/14/2017 13:40,0.002,,,,,
arm,2017,4/14/2017 13:45,0.001,,,,,
arm,2017,4/14/2017 13:50,0.001,,,,,
arm,2017,4/14/2017 14:00,0.001,,,,,
arm,2017,4/14/2017 14:05,0.001,,,,,
arm,2017,4/14/2017 14:10,0.004,,,,,
arm,2017,4/14/2017 14:15,0.001,,,,,
arm,2017,4/15/2017 7:25,0.001,,,,,
arm,2017,4/15/2017 7:30,0.001,,,,,
