SiteID,Year,sample_event,tss_load,crop,random,slope75,LSfactor,Lfactor,Sfactor,C_factor,K_factor,post_Lupslp,post_Tupslp,pre_Lupslp,ppt_sum,ln_ppt,Treatment,ln_slp,ln_LS,ln_L,ln_S,ln_postL,ln_postT
MCN,2021,3,3.708711,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.079,-2.538307427,strips,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,3,1.328592,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.079,-2.538307427,control,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,4,22.23153,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.071,-2.645075402,strips,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,4,12.50968,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.071,-2.645075402,control,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
RHO,2018,1,0,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.016,-4.135166557,strips,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,1,0.350441849,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.016,-4.135166557,control,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,2,22.9213654,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.139,-1.973281346,strips,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,2,0,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.139,-1.973281346,control,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,3,1.147663074,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.011,-4.509860006,strips,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,3,0.709909393,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.011,-4.509860006,control,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
RHO,2018,4,2.919806024,corn,R,7.4,0.5796,1.075335,0.552776,0.29,0.051363,193.51,6424.85,193.51,0.198,-1.619488248,strips,2.00148,-0.545417069,0.072632241,-0.592802423,5.265329191,8.767928563
