"SiteID","Treatment","Year","eventid","flow","eventStart","eventEnd","flow_time"
"EIA","control",2016,42,553.755,2016-07-19 14:15:00,2016-07-22 21:15:00,4741
"EIA","control",2016,44,738.095,2016-07-23 11:15:00,2016-07-24 15:55:00,1721
"EIA","control",2016,46,2.272,2016-07-25 18:25:00,2016-07-25 18:45:00,21
"EIA","control",2016,48,4.615,2016-07-26 16:40:00,2016-07-26 16:55:00,16
"EIA","control",2016,50,86.147,2016-07-30 17:30:00,2016-07-30 20:35:00,186
"EIA","control",2016,52,832.236,2016-07-31 15:10:00,2016-07-31 21:45:00,396
"EIA","control",2016,54,34.411,2016-08-01 13:35:00,2016-08-01 15:15:00,101
"EIA","control",2016,56,386.868,2016-08-04 20:15:00,2016-08-05 18:30:00,1336
"EIA","control",2016,58,58417.219,2016-08-11 10:15:00,2016-08-12 20:45:00,2071
"EIA","control",2016,60,50.375,2016-08-18 15:45:00,2016-08-18 17:40:00,116
"EIA","control",2016,62,133.308,2016-08-19 14:50:00,2016-08-20 19:05:00,1696
"EIA","control",2016,64,30.828,2016-08-21 13:25:00,2016-08-21 16:25:00,181
"EIA","control",2016,66,4.227,2016-08-22 13:00:00,2016-08-22 13:35:00,36
"EIA","control",2016,68,234.196,2016-08-24 02:55:00,2016-08-25 00:20:00,1286
"EIA","control",2016,70,360.943,2016-08-27 02:55:00,2016-08-27 21:00:00,1086
"EIA","control",2016,72,880.29,2016-08-28 13:50:00,2016-08-28 21:45:00,476
