"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"EIA",2016,70,0.008,2016-07-10 11:35:00,2016-07-10 13:15:00,2.66666666666667
"EIA",2016,72,0.012,2016-07-12 01:45:00,2016-07-12 04:30:00,3.75
"EIA",2016,74,0.015,2016-07-17 05:20:00,2016-07-17 06:50:00,2.5
"EIA",2016,78,0.021,2016-07-22 00:30:00,2016-07-22 01:40:00,2.16666666666667
"EIA",2016,82,0.03,2016-08-04 20:05:00,2016-08-04 20:50:00,1.75
"EIA",2016,86,0.11,2016-08-11 19:50:00,2016-08-11 23:50:00,5
"EIA",2016,92,0.012,2016-08-24 02:10:00,2016-08-24 07:00:00,5.83333333333333
"EIA",2016,96,0.008,2016-08-26 23:55:00,2016-08-27 03:20:00,4.41666666666667
"EIA",2016,98,0.062,2016-09-07 08:15:00,2016-09-08 02:05:00,18.8333333333333
"EIA",2016,102,0.031,2016-09-15 23:25:00,2016-09-16 01:35:00,3.16666666666667
"EIA",2016,104,0.062,2016-09-23 03:00:00,2016-09-23 05:20:00,3.33333333333333
"EIA",2016,108,0.029,2016-10-26 04:10:00,2016-10-26 07:15:00,4.08333333333333
"EIA",2016,110,0.019,2016-11-02 00:20:00,2016-11-02 06:30:00,7.16666666666667
"EIA",2017,14,0.014,2017-04-15 17:55:00,2017-04-15 22:55:00,6
"EIA",2017,22,0.01,2017-04-30 15:30:00,2017-04-30 21:05:00,6.58333333333333
"EIA",2017,24,0.016,2017-05-10 08:55:00,2017-05-10 15:40:00,7.75
"EIA",2017,28,0.015,2017-05-17 17:05:00,2017-05-17 18:40:00,2.58333333333333
"EIA",2017,30,0.009,2017-05-19 03:15:00,2017-05-19 07:50:00,5.58333333333333
"EIA",2017,32,0.016,2017-05-26 10:20:00,2017-05-26 12:00:00,2.66666666666667
"EIA",2017,38,0.019,2017-06-14 05:50:00,2017-06-14 11:55:00,7.08333333333333
"EIA",2017,44,0.009,2017-06-17 00:05:00,2017-06-17 00:15:00,1.16666666666667
"EIA",2017,48,0.01,2017-06-23 01:35:00,2017-06-23 01:55:00,1.33333333333333
"EIA",2017,50,0.013,2017-06-28 04:55:00,2017-06-28 06:35:00,2.66666666666667
"EIA",2017,54,0.015,2017-07-10 03:40:00,2017-07-10 04:40:00,2
"EIA",2017,60,0.023,2017-07-20 22:50:00,2017-07-21 00:50:00,3
