"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2021,"ARM","strips",8,0.108,6,2021-06-24 10:40:00,2021-06-24 10:45:00
2021,"ARM","strips",10,8.436,91,2021-07-10 00:00:00,2021-07-10 01:30:00
2016,"EIA","control",2,33.323,661,2016-05-03 23:55:00,2016-05-04 10:55:00
2016,"EIA","control",4,1034.998,2271,2016-05-28 00:10:00,2016-05-29 14:00:00
2016,"EIA","control",6,805.954,1466,2016-05-31 20:15:00,2016-06-01 20:40:00
2016,"EIA","control",8,1059.208,2486,2016-06-04 01:50:00,2016-06-05 19:15:00
2016,"EIA","control",10,535.846,1441,2016-06-11 02:25:00,2016-06-12 02:25:00
2016,"EIA","control",12,723.868,1556,2016-06-14 20:25:00,2016-06-15 22:20:00
2016,"EIA","control",14,76336.211,2341,2016-06-22 01:20:00,2016-06-23 16:20:00
2016,"EIA","control",16,531.147,1046,2016-06-26 03:15:00,2016-06-26 20:40:00
2016,"EIA","control",18,214.404,1191,2016-06-30 02:50:00,2016-06-30 22:40:00
2016,"EIA","control",20,27.898,56,2016-07-06 02:40:00,2016-07-06 03:35:00
2016,"EIA","control",22,27.516,306,2016-07-06 16:50:00,2016-07-06 21:55:00
2016,"EIA","control",24,753.772,1476,2016-07-10 12:35:00,2016-07-11 13:10:00
2016,"EIA","control",26,394.726,1596,2016-07-12 01:50:00,2016-07-13 04:25:00
2016,"EIA","control",28,107.905,716,2016-07-17 05:25:00,2016-07-17 17:20:00
2016,"EIA","control",30,173.38,1446,2016-07-19 14:15:00,2016-07-20 14:20:00
2016,"EIA","control",32,169.28,1231,2016-07-22 00:45:00,2016-07-22 21:15:00
2016,"EIA","control",34,386.868,1336,2016-08-04 20:15:00,2016-08-05 18:30:00
2016,"EIA","control",36,58415.639,2071,2016-08-11 10:15:00,2016-08-12 20:45:00
2016,"EIA","control",38,88.682,966,2016-08-20 03:00:00,2016-08-20 19:05:00
2016,"EIA","control",40,234.196,1286,2016-08-24 02:55:00,2016-08-25 00:20:00
2016,"EIA","control",42,360.943,1086,2016-08-27 02:55:00,2016-08-27 21:00:00
2016,"EIA","control",44,23041.334,1816,2016-09-07 08:20:00,2016-09-08 14:35:00
2016,"EIA","control",46,2097.214,756,2016-09-15 23:35:00,2016-09-16 12:10:00
2016,"EIA","control",48,42933.249,1561,2016-09-23 03:15:00,2016-09-24 05:15:00
2016,"EIA","control",50,2062.346,1511,2016-10-26 06:00:00,2016-10-27 07:10:00
2016,"EIA","control",52,22.933,296,2016-11-02 02:55:00,2016-11-02 07:50:00
2017,"EIA","control",2,74.251,2201,2017-07-21 15:40:00,2017-07-23 04:20:00
2018,"EIA","control",2,0.981,81,2018-05-20 05:55:00,2018-05-20 07:15:00
2018,"EIA","control",4,0.832,56,2018-05-21 02:35:00,2018-05-21 03:30:00
2018,"EIA","control",6,141.785,836,2018-05-26 01:25:00,2018-05-26 15:20:00
2018,"EIA","control",8,1.657,6,2018-05-30 01:20:00,2018-05-30 01:25:00
2018,"EIA","control",10,25590.214,2351,2018-06-09 08:50:00,2018-06-11 00:00:00
2018,"EIA","control",12,296.93,1506,2018-06-14 11:25:00,2018-06-15 12:30:00
2018,"EIA","control",14,76910.36,5166,2018-06-18 22:50:00,2018-06-22 12:55:00
2018,"EIA","control",16,359.023,1761,2018-06-30 22:30:00,2018-07-02 03:50:00
2018,"EIA","control",18,1283.546,1556,2018-07-14 02:35:00,2018-07-15 04:30:00
2018,"EIA","control",20,3569.179,1791,2018-07-19 05:20:00,2018-07-20 11:10:00
2018,"EIA","control",22,60.505,766,2018-07-25 22:45:00,2018-07-26 11:30:00
2018,"EIA","control",24,1793.067,1461,2018-07-30 16:00:00,2018-07-31 16:20:00
2018,"EIA","control",26,942.167,2016,2018-08-07 09:20:00,2018-08-08 18:55:00
2018,"EIA","control",28,2553.594,4166,2018-08-15 06:25:00,2018-08-18 03:50:00
2018,"EIA","control",30,1843.503,2401,2018-08-20 05:20:00,2018-08-21 21:20:00
2018,"EIA","control",32,1952.394,2416,2018-08-24 05:30:00,2018-08-25 21:45:00
2018,"EIA","control",34,1230.705,3591,2018-08-27 06:25:00,2018-08-29 18:15:00
