Year,SiteID,rf_event,rain_mm,rain_hr,rf_rate,eventStart,eventEnd,Time
2021,ARM,20,49,6.766666667,7.24137931,8/31/2021 1:10,8/31/2021 7:55,0
2021,ARM,21,6,1.6,3.75,9/3/2021 1:25,9/3/2021 3:00,0
2021,ARM,22,47,3.183333333,14.76439791,9/30/2021 1:40,9/30/2021 4:50,0
2021,ARM,23,27,2.433333333,11.09589041,10/13/2021 2:30,10/13/2021 4:55,0
2021,ARM,24,38,14.68333333,2.587968218,10/24/2021 1:50,10/24/2021 16:30,0
2016,EIA,1,4,0.266666667,15,3/13/2016 5:20,3/13/2016 5:35,0
2016,EIA,2,4,10.93333333,0.365853659,3/15/2016 6:55,3/15/2016 17:50,0
2016,EIA,3,14,1.35,10.37037037,3/23/2016 22:40,3/24/2016 0:00,0
2016,EIA,4,27,2.85,9.473684211,4/5/2016 23:05,4/6/2016 1:55,0
2016,EIA,5,12,14.1,0.85106383,4/27/2016 9:20,4/27/2016 23:25,0
2016,EIA,6,13,4.433333333,2.932330827,4/30/2016 9:45,4/30/2016 14:10,0
2016,EIA,7,10,0.933333333,10.71428571,5/9/2016 17:50,5/9/2016 18:45,0
2016,EIA,8,6,1.266666667,4.736842105,5/26/2016 3:55,5/26/2016 5:10,1
2016,EIA,9,17,15.18333333,1.119648738,5/27/2016 22:55,5/28/2016 14:05,1
2016,EIA,10,10,0.683333333,14.63414634,5/31/2016 20:05,5/31/2016 20:45,1
2016,EIA,11,15,0.266666667,56.25,6/4/2016 1:45,6/4/2016 2:00,1
2016,EIA,12,13,1.1,11.81818182,6/4/2016 18:15,6/4/2016 19:20,1
2016,EIA,13,5,0.183333333,27.27272727,6/9/2016 4:50,6/9/2016 5:00,2
2016,EIA,14,6,0.35,17.14285714,6/11/2016 2:10,6/11/2016 2:30,2
2016,EIA,15,14,10.35,1.352657005,6/14/2016 12:05,6/14/2016 22:25,2
2016,EIA,16,4,0.183333333,21.81818182,6/20/2016 6:30,6/20/2016 6:40,2
2016,EIA,17,129,8.266666667,15.60483871,6/22/2016 0:30,6/22/2016 8:45,2
2016,EIA,18,4,0.016666667,240,6/23/2016 12:30,6/23/2016 12:30,2
2016,EIA,19,20,2.266666667,8.823529412,6/26/2016 3:00,6/26/2016 5:15,2
2016,EIA,20,14,5.516666667,2.53776435,6/30/2016 2:15,6/30/2016 7:45,0
2016,EIA,21,7,0.183333333,38.18181818,7/6/2016 2:35,7/6/2016 2:45,0
2016,EIA,22,8,1.683333333,4.752475248,7/10/2016 11:35,7/10/2016 13:15,0
2016,EIA,23,12,2.766666667,4.337349398,7/12/2016 1:45,7/12/2016 4:30,0
2016,EIA,24,15,1.516666667,9.89010989,7/17/2016 5:20,7/17/2016 6:50,0
2016,EIA,25,4,0.35,11.42857143,7/19/2016 14:05,7/19/2016 14:25,0
2016,EIA,26,21,1.183333333,17.74647887,7/22/2016 0:30,7/22/2016 1:40,0
2016,EIA,27,5,0.266666667,18.75,7/29/2016 12:30,7/29/2016 12:45,0
2016,EIA,28,30,0.766666667,39.13043478,8/4/2016 20:05,8/4/2016 20:50,0
2016,EIA,29,112,14.26666667,7.85046729,8/11/2016 9:35,8/11/2016 23:50,0
2016,EIA,30,12,4.85,2.474226804,8/24/2016 2:10,8/24/2016 7:00,0
2016,EIA,31,8,3.433333333,2.330097087,8/26/2016 23:55,8/27/2016 3:20,0
2016,EIA,32,62,17.85,3.473389356,9/7/2016 8:15,9/8/2016 2:05,0
2016,EIA,33,5,0.35,14.28571429,9/9/2016 18:30,9/9/2016 18:50,0
2016,EIA,34,31,2.183333333,14.19847328,9/15/2016 23:25,9/16/2016 1:35,0
2016,EIA,35,62,2.35,26.38297872,9/23/2016 3:00,9/23/2016 5:20,0
2016,EIA,36,29,3.1,9.35483871,10/26/2016 4:10,10/26/2016 7:15,0
2016,EIA,37,19,6.183333333,3.07277628,11/2/2016 0:20,11/2/2016 6:30,0
2017,EIA,1,6,8.016666667,0.748440748,3/29/2017 15:15,3/29/2017 23:15,0
2017,EIA,2,5,0.1,50,4/10/2017 1:50,4/10/2017 1:55,0
2017,EIA,3,5,1.35,3.703703704,4/13/2017 2:30,4/13/2017 3:50,0
2017,EIA,4,6,6.1,0.983606557,4/14/2017 13:05,4/14/2017 19:10,0
2017,EIA,5,14,5.016666667,2.790697674,4/15/2017 17:55,4/15/2017 22:55,0
2017,EIA,6,3,1.016666667,2.950819672,4/28/2017 14:20,4/28/2017 15:20,0
2017,EIA,7,10,5.6,1.785714286,4/30/2017 15:30,4/30/2017 21:05,0
2017,EIA,8,16,6.766666667,2.36453202,5/10/2017 8:55,5/10/2017 15:40,1
2017,EIA,9,17,11.01666667,1.54311649,5/17/2017 7:40,5/17/2017 18:40,1
2017,EIA,10,9,4.6,1.956521739,5/19/2017 3:15,5/19/2017 7:50,1
2017,EIA,11,16,1.683333333,9.504950495,5/26/2017 10:20,5/26/2017 12:00,2
2017,EIA,12,22,16.51666667,1.331987891,6/14/2017 5:50,6/14/2017 22:20,3
2017,EIA,13,5,1.35,3.703703704,6/15/2017 23:25,6/16/2017 0:45,3
2017,EIA,14,9,0.183333333,49.09090909,6/17/2017 0:05,6/17/2017 0:15,3
2017,EIA,15,5,5.35,0.934579439,6/21/2017 13:05,6/21/2017 18:25,3
2017,EIA,16,10,0.35,28.57142857,6/23/2017 1:35,6/23/2017 1:55,3
2017,EIA,17,13,1.683333333,7.722772277,6/28/2017 4:55,6/28/2017 6:35,3
2017,EIA,18,3,0.1,30,6/28/2017 19:10,6/28/2017 19:15,3
2017,EIA,19,15,1.016666667,14.75409836,7/10/2017 3:40,7/10/2017 4:40,0
2017,EIA,20,23,2.016666667,11.40495868,7/20/2017 22:50,7/21/2017 0:50,0
2017,EIA,21,10,0.35,28.57142857,7/22/2017 4:05,7/22/2017 4:25,0
2017,EIA,22,4,5.433333333,0.736196319,7/26/2017 16:25,7/26/2017 21:50,0
2017,EIA,23,8,6.433333333,1.243523316,8/3/2017 9:20,8/3/2017 15:45,0
2017,EIA,24,4,0.35,11.42857143,8/14/2017 8:25,8/14/2017 8:45,0
2017,EIA,25,3,0.35,8.571428571,8/19/2017 2:20,8/19/2017 2:40,0
2017,EIA,26,15,0.85,17.64705882,8/21/2017 19:50,8/21/2017 20:40,0
2017,EIA,27,3,1.016666667,2.950819672,9/17/2017 4:20,9/17/2017 5:20,0
2017,EIA,28,8,0.766666667,10.43478261,10/22/2017 0:10,10/22/2017 0:55,0
2018,EIA,1,10,6.35,1.57480315,5/2/2018 20:40,5/3/2018 3:00,0
2018,EIA,2,7,0.433333333,16.15384615,5/3/2018 22:20,5/3/2018 22:45,0
2018,EIA,3,13,3.933333333,3.305084746,5/12/2018 1:40,5/12/2018 5:35,1
2018,EIA,4,24,1.683333333,14.25742574,5/14/2018 5:00,5/14/2018 6:40,1
2018,EIA,5,26,0.516666667,50.32258065,5/20/2018 5:25,5/20/2018 5:55,1
2018,EIA,6,8,4.016666667,1.991701245,5/21/2018 2:30,5/21/2018 6:30,1
2018,EIA,7,15,0.516666667,29.03225806,5/26/2018 1:20,5/26/2018 1:50,1
2018,EIA,8,10,1.6,6.25,5/29/2018 23:45,5/30/2018 1:20,1
2018,EIA,9,26,1.016666667,25.57377049,6/9/2018 8:00,6/9/2018 9:00,2
2018,EIA,10,56,2.266666667,24.70588235,6/9/2018 21:50,6/10/2018 0:05,2
2018,EIA,11,18,2.183333333,8.244274809,6/14/2018 10:25,6/14/2018 12:35,3
2018,EIA,12,47,12.43333333,3.780160858,6/18/2018 22:40,6/19/2018 11:05,3
2018,EIA,13,78,31.93333333,2.442588727,6/20/2018 6:45,6/21/2018 14:40,3
2018,EIA,14,11,16.35,0.672782875,6/25/2018 20:40,6/26/2018 13:00,3
